customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9911-IOQN,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,93.36,2031.92,Yes
5593-ZBDR,Female,0,No,No,47,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),72.87,3432.4,No
8366-MOYW,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),108.12,2349.61,No
7587-VZAK,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),90.04,6272.62,No
3121-YEPK,Female,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,49.48,638.54,No
4188-FIMX,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,103.18,7453.57,No
5704-QXEY,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,105.84,5617.32,Yes
4201-YXID,Female,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),86.03,5933.14,No
5212-RPHZ,Male,0,No,No,42,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,84.26,3561.02,No
2738-UURW,Male,0,No,No,44,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,59.86,2627.69,No
1924-XJMQ,Female,0,Yes,Yes,21,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.17,1902.88,Yes
3321-JPTE,Male,0,No,Yes,60,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.94,4766.04,No
1556-RQIN,Male,1,No,Yes,17,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),88.89,1502.48,No
4504-DRTX,Female,0,Yes,No,43,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.22,3740.6,No
9055-OKLI,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.22,3188.86,No
8246-OEWS,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,2051.31,Yes
3905-TZYZ,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,88.8,5005.34,No
1153-NQRU,Male,1,Yes,Yes,14,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,96.47,1338.62,No
1786-QLAL,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.6,2335.17,No
5272-XCKQ,Female,0,Yes,No,57,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),99.3,5671.22,No
9857-CHTD,Male,0,No,No,1,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,96.57,111.98,Yes
9052-VGNN,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,111.56,1401.22,Yes
8011-PXVA,Female,0,Yes,No,20,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,89.14,1768.85,No
7704-YJVP,Female,0,Yes,No,42,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.32,4726.75,No
1143-ZHGF,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),93.06,4102.45,No
7031-TPGI,Female,1,No,No,33,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),83.24,2731.45,No
3713-ZNGA,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.14,3238.12,No
5633-YMTC,Male,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.82,786.38,Yes
6555-DZKB,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.3,218.37,No
1397-LQLZ,Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,44.69,3026.28,No
9747-AMNX,Female,0,No,Yes,27,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,83.98,2296.08,Yes
3941-BLZU,Male,1,Yes,Yes,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),85.71,2062.5,No
8067-PDHB,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.81,2969.48,No
2480-WOMW,Male,1,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,93.92,4750.2,No
7447-BTTN,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,105.16,7562.82,No
5994-WLHB,Female,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,80.99,2670.56,No
9269-PSBL,Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),105.66,4740.83,Yes
2532-NFMD,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,115.79,5330.68,Yes
1277-RLTV,Female,1,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,101.45,3117.04,Yes
4122-HGPS,Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.79,441.03,Yes
2797-TUKE,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,45.64,871.5,No
1815-GEKO,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,36.67,1658.23,No
2410-ZEWU,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),41.64,1557.34,No
4364-IOCF,Female,0,Yes,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.74,227.35,No
5500-HUYK,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,103.01,941.37,No
5517-HJXC,Female,1,Yes,No,40,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),95.27,3778.35,No
5726-NWNJ,Male,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.19,5369.62,No
4723-FLWN,Male,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,108.94,7621.36,Yes
1545-IJZQ,Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,94.99,3993.67,Yes
1882-ALGD,Female,1,No,Yes,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,95.71,3557.04,No
6204-VYDR,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.19,2247.28,Yes
3244-SBLQ,Female,0,Yes,No,31,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,99.03,3101.87,No
9521-BFHS,Male,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.43,2341.24,No
4518-YLIB,Female,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.75,999.07,No
3567-ZKUD,Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.34,873.09,No
2545-UTPH,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,91.55,5184.99,No
7947-JLNP,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,118.75,2743.05,Yes
8124-VULR,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.1,1909.07,No
9669-GTXW,Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.51,4336.08,Yes
6413-VLVL,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),118.75,6763.87,No
6961-WZFQ,Female,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.09,631.59,No
9433-FXSJ,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),97.45,1475.35,No
9084-XFUY,Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.22,5475.29,No
3007-ARXY,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,106.89,6822.58,No
1755-LPJJ,Female,0,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,95.73,1154.64,Yes
9301-YTJJ,Female,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.0,474.34,Yes
9216-KWBY,Male,0,Yes,Yes,11,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,108.52,1174.01,No
9371-HWGH,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),118.75,943.72,No
7401-ROAE,Male,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.68,2015.39,No
8393-TCSR,Female,1,No,No,66,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,73.58,4845.59,No
8164-VRNX,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,109.55,2492.39,Yes
7727-LUJW,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.94,1414.23,No
9627-QKBZ,Male,0,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.96,2615.33,No
4235-AOMH,Male,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.35,4819.73,No
6720-DJSR,Female,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),68.76,1393.56,No
5957-SZWV,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),100.38, ,No
6839-ALXB,Male,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,79.47,779.08,Yes
2927-RYPE,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,100.87,6652.81,No
6533-VMSC,Female,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,113.32,2424.26,Yes
7233-HZZL,Male,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,103.61,606.29,No
2131-RMEV,Female,0,No,No,48,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),71.99,3449.23,No
6092-GZZX,Male,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),118.75, ,No
7159-WHIO,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.32,2298.05,No
4044-MEKJ,Female,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),92.4,5731.91,No
3892-IUNR,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,106.65,6698.41,No
1654-JXGH,Female,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,101.27,2522.16,Yes
9446-OPDU,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.52,1530.09,No
7154-LZEW,Male,0,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.02,793.61,Yes
6972-PMMQ,Male,1,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.02,2617.9,No
5314-GHMW,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,41.79,417.14,No
3682-PDHP,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,114.67,7435.23,No
7964-JYLL,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.03,1048.43,No
5452-PAIL,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,108.4,1612.05,Yes
4908-VTVX,Male,0,No,No,25,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,69.69,1751.2,No
1098-EBNB,Female,0,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,6537.44,No
2868-GJMP,Female,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,98.3,807.39,Yes
9761-NKJF,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),86.47,352.0,No
3883-UAGX,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.72,659.41,Yes
2223-ESJK,Female,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),113.48,7258.21,No
7520-OFOE,Female,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.96,781.37,Yes
9412-SVSJ,Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,118.75,5597.95,Yes
6515-VDRP,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.65,2157.58,No
9167-DYWL,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),100.6,2376.47,Yes
4681-DECI,Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,86.26,1064.4,No
1572-URKC,Female,0,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.76,4689.57,Yes
6629-YWBI,Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,40.03,346.1,No
2997-DIMR,Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,100.7,3944.54,No
4407-LTEB,Male,0,Yes,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.42,2203.02,Yes
3793-AGZQ,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.19,1222.46,No
3415-XCNJ,Male,0,No,Yes,36,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.96,2937.55,Yes
9102-ZQFW,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.27,564.12,No
2173-DQID,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,8417.21,Yes
3262-BQXH,Male,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.73,2741.68,No
1246-OOHP,Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.96,5247.64,No
6930-BWXQ,Female,1,No,No,34,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,77.14,2626.66,No
7617-PYOM,Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),115.9,6266.74,No
8054-DPLD,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.26,559.13,No
1706-VQVR,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),118.75,3051.69,Yes
9945-WQLW,Male,0,No,Yes,20,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),93.67,1877.41,Yes
6588-XDLZ,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.22,891.91,No
4317-UTOW,Female,0,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,92.89,1486.6,No
7811-PEUO,Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,81.95,2122.73,No
4057-EMSM,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,101.5,4780.84,No
7349-DDTT,Male,1,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),41.61,1793.67,No
9210-MLGY,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,69.21,2402.97,No
7571-UDBB,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),86.59,2311.57,Yes
7468-WJJI,Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,84.1,2033.27,No
1452-ZJJF,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),88.97,6433.1,No
9154-SUHA,Male,0,No,No,46,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,76.24,3554.24,Yes
7747-QGNU,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.29,810.29,No
8892-QIQE,Female,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.55,4197.85,No
4129-YTHF,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),115.9,7421.78,No
8338-SDRA,Female,0,No,No,15,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.12,1210.62,No
6111-AKQD,Male,1,Yes,No,49,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),84.54,4144.86,No
6497-LJFY,Female,0,Yes,Yes,12,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),84.41,1074.73,No
5992-GZUP,Female,0,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),48.18,1655.93,No
4443-TFVY,Female,0,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),93.52,2917.37,No
9347-EXUR,Male,0,No,Yes,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,85.14,2033.92,No
6724-SAAM,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,115.15,4841.78,No
2410-JUCI,Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,95.95,2587.58,Yes
1551-CYMF,Male,0,No,No,65,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.01,4872.31,No
5076-WTTL,Male,1,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.64,2261.73,No
5052-XWPW,Male,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,118.75,3771.26,No
6490-UMQW,Female,0,No,No,46,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,101.01,4643.18,No
3248-QBSS,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.89,3940.46,Yes
9695-GVJJ,Male,0,No,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,108.13,6795.36,No
1314-TIQO,Female,0,Yes,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,215.98,Yes
9449-DSQE,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.07,1635.79,No
6585-UVGQ,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.69,1606.33,No
6670-DHMD,Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,113.5,5101.0,Yes
7117-YELD,Female,0,Yes,No,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,88.59,889.1,No
3775-IDSX,Male,0,No,No,69,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,109.98,7609.03,No
5109-ERJY,Male,1,Yes,Yes,45,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,94.99,4268.93,No
1722-LRQX,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,45.89,2678.77,No
6398-QAOI,Female,0,Yes,No,58,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),86.25,5018.57,No
1919-CVSM,Female,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,110.64,3653.84,No
2099-TAUQ,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.7,1904.63,Yes
7784-JOGV,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,110.52,7834.35,No
8194-RGQR,Male,1,No,No,51,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.8,3546.75,No
2502-BGDR,Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,35.45,1671.34,No
7654-IINH,Female,1,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.18,596.34,No
3594-REND,Male,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,70.61,175.75,Yes
7310-TYLB,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,106.6,3306.26,No
7378-NVWP,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,96.94,2608.62,No
1403-FWDO,Female,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,35.29,2060.08,No
1087-YAGY,Male,0,Yes,No,40,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.2,3131.17,No
6470-LJEL,Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),118.75,3806.11,Yes
5273-JFLG,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.47,528.68,No
7606-LZQD,Male,1,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,75.93,3953.01,No
1317-ISWG,Male,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),36.6,1507.95,No
1118-BFRF,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.56,763.29,No
4250-BLON,Male,0,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.39,550.97,No
5421-RERC,Female,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,98.17,4996.04,No
